zipcode,rating,insertedAtTimestamp,longitude,address,id,latitude,name,review_count,cuisine
10018,3.5,2018-05-02 17:22:42.980427,-73.9891703,"207 W 38th St, New York, NY 10018",5AD9nY8UrYlCVMb3Y6KeWg,40.7537928,Bonchon Chicken - NYC 38th St,925,korean
10454,4.0,2018-05-02 17:20:29.191531,-73.9187199,"260 Brook Ave, Bronx, NY 10454",SFleMiroXTeWnXfonRic-w,40.808,Fast Wok,8,chinese
11209,4.0,2018-05-02 17:20:53.981717,-74.034023,"9510 3rd Ave, Brooklyn, NY 11209",VP_HZr_j0dXKd80lUBfsyg,40.616988,The Wicked Monk,174,american
10003,3.5,2018-05-02 17:23:47.009231,-73.9879000564405,"238A E 9th St, New York, NY 10003",yQsIfCcepYeQ9nelYdAIUA,40.7293718124736,Yonekichi,118,japanese
10014,4.0,2018-05-02 17:20:30.309358,-74.0038400073579,"35 Downing St, New York, NY 10014",m86CNmYThtzzWB3nPnrhbg,40.729330068469,Emily - West Village,251,american
10025,4.0,2018-05-02 17:20:28.968458,-73.96934,"2675 Broadway, New York, NY 10025",XiIBASyS65DX3E_staW0JQ,40.79847,Xi'an Famous Foods,302,chinese
10016,3.5,2018-05-02 17:22:42.872370,-73.98519,"315 5th Ave, New York, NY 10016",5ZCvexz7_WHJCRgC3yGczw,40.7469,Third Floor Cafe,495,korean
11354,3.0,2018-05-02 17:22:54.031384,-73.8282399,"36-24 Union St, Flushing, NY 11354",NhSrBO0VlTiRK6VMDO3LTA,40.7630399,Ming Chan Dong,3,korean
11201,4.0,2018-05-02 17:23:00.976992,-73.99052,"New York, NY 11201",QMjwVS8CAJ72T5PLiSx3GA,40.69347,Sweet Chili,59,korean
10036,3.5,2018-05-02 17:20:28.823377,-73.97994,"36 W 48th St, New York, NY 10036",qGgQMVExGERqGhZNDM2ROg,40.75781,Wu Liang Ye,448,chinese
10301,3.5,2018-05-02 17:22:03.383128,-74.0857772827148,"323 Victory Blvd, Staten Island, NY 10301",I2Y3_18dUz0CaSzsx_x7Ag,40.6343269348145,Dosa Garden,97,indian
